,name,located,registered_on
0,Freddie Homes,"Chevron drive, Lagos","Nov 21, 2017"
1,Seun Ola,,"Mar 08, 2020"
2,Zeezconsult Properties Management & General Merchandise ,"Yaba, Lagos","Feb 12, 2015"
3,Poise and Ambrosia INVESTMENTS,,"Apr 07, 2020"
4,Bossy Properties,,"Jul 09, 2019"
5,Masel Homes 'N' Properties,"15-17 Unity Avenue Agiliti Mile 12, Lagos","Oct 26, 2018"
6,GeniusRealtorsPro.com,,"May 16, 2020"
7,EVERGREEN,"Lekki, Lagos","Nov 23, 2017"
8,Temini Agency,,"May 01, 2020"
9,Hyginus E,"Egbe, Lagos","Aug 27, 2016"
10,TOS PROPERTY SERVICES ,"Sholanke Street , Lagos","Aug 25, 2016"
11,Enidas Properties Solution,"2j obasa close,off oba akran,lagos mainland, Lagos","Dec 07, 2016"
12,Zeekaph Concepts Services,"Shiro Street Off Oweh Street Jibowu Yaba Lagos State, Lagos","Nov 22, 2017"
13, Zillenium Limited (ENIKPLUS PROPERTIES),,"Mar 13, 2019"
14,Toa okiki nig ent ,"81 itire rd off ogunlana drive Surulere , Lagos","May 22, 2013"
15, REALVEST AND HOMES ,"Suit 211 ,Arcade Plaza, Oke bola,Ibadan, Oyo","Mar 01, 2018"
16,Bright Innocent ,,"Nov 09, 2020"
17,Poise Homes ,,"Oct 15, 2020"
18,M&O properties,,"Feb 22, 2022"
19,Omicronsat Services,,"Jul 12, 2020"
20,PMY UNIQUE REALTORS,"20, ADENIRAN OGUNSANYA STREET SURULERE , Lagos","Aug 18, 2016"
21,SAMKEN PROPERTIES,,"May 30, 2020"
22,First Colony Real Estate Company Ltd.,,"Sep 02, 2016"
23,The Driver Realty,,"Mar 23, 2022"
24,McLAW REALTORS,,"Mar 13, 2021"
25,OD GLOBAL LIMITED,"Road 5, Suit i 36, Ikota Shopping Complex, VGC., Lagos","Nov 29, 2018"
26,City Garden Real Estate LTD,,"Jun 18, 2020"
27, Bright Properties,,"Nov 10, 2020"
28,BES CONCERNS,,"Oct 17, 2019"
29,Plugwalk propertys Ltd,,"Sep 10, 2018"
30,Spoton Realty and Construction Limited,"Road 3 close 10, J70 V.G.C Ikota, Lagos","Aug 26, 2016"
31,Joshdan Realtors,,"Oct 08, 2020"
32,Divine Grace Realtors,Lagos,"Nov 29, 2017"
33,YB property consult,,"Oct 28, 2019"
34,seyephilip&co,"52 isheri road opp omole phase 1 estate ikeja lagos , Lagos","Aug 31, 2015"
35,.,,"Jan 27, 2022"
36,TAWAB CONSTRUCTION AND PROPERTIES ,"23, Kosoko Street , Lagos","May 21, 2018"
37,.,,"Nov 23, 2017"
38,Arirex Royal limited ,,"May 27, 2022"
39,"??Lambe & EBOlGE properties,","Surulere, Lagos","Apr 24, 2017"
40,Highspeed properties Ltd ,,"Aug 26, 2019"
41,Cresco Homes and Properties,"13 Akpomudje Street, Ago Palace Way, Okota, Lagos","Apr 06, 2017"
42,Osilama & Co,"2nd Floor, 7 Brook Street, Lagos Island, Lagos, Lagos","May 17, 2017"
43,Royal Realtors estate services,,"Jan 17, 2020"
44,Ben Kali,,"May 24, 2021"
45,Ayodele Ojo,"Lateef Salami, Ajao estate, Lagos","Aug 21, 2013"
46,FAVORITE PROPERTY ,,"Dec 05, 2019"
47,[email protected],,"Mar 19, 2021"
48,WapeL Nigeria Limited ,,"Aug 31, 2016"
49,FAM'S EVERGREEN SERVICES,,"Jul 29, 2020"
50,THE HOME PROPERTIES ,,"Jun 29, 2020"
51,Pat- Arizona Properties,Lagos,"Aug 16, 2016"
52,Vic tobore properties,"ikota villa,lekki, Lagos","Sep 14, 2016"
53,Sodadex property,"Gbagada, Lagos","Sep 26, 2016"
54,Expert consultant services ,,"Jul 05, 2019"
55,Onups &co,Abuja,"Mar 28, 2019"
56,Jaiden & Glory Global Services,Rivers,"Apr 03, 2017"
