name,located,registered_on
Joe Etoniru & Associates,"Plot 9, Olawale Onitiri Cole street,lekki phase 1, Lagos","Oct 20, 2015"
Superite Estates Investment Limited,,"Jan 02, 2019"
Island luxury living home & lifestyle ,,"Apr 11, 2019"
MAPLE OAK REALTY,,"May 10, 2021"
Openkeys business venture ,,"Feb 18, 2019"
TEMITOPE GLOBAL TEAM SERVICES,"Dopemu, Lagos","Nov 24, 2017"
Cruzi Global Resort Ltd ,,"Oct 03, 2019"
BLUEHEDGE REALTORS,"Suite 230, Block C, Road 2, Ikota Shopping Complex, VGC, Lekki, Lagos, Lagos","Sep 01, 2016"
Knight Angels Realties Ltd,"Pivot Plaza, Okpanam Road, Asaba , Delta","Aug 02, 2020"
4Tee Properties,"C193 Ikota Shopping Complex VGC, Lagos","Nov 14, 2014"
Olamide Popoola,,"May 16, 2022"
ALEMOH INANAPE JOE. REAL ESTATE DEVELOPERS ,,"Aug 26, 2018"
West Bestern Homes and properties ltd,,"Aug 27, 2020"
Afolayan Homes and Properties ,,"Aug 20, 2022"
Shedrack Luka property,,"May 25, 2019"
IB Properties Investment Limited,,"Nov 13, 2019"
MrMideOseni Homes & Properties,,"Sep 14, 2022"
AMBICORP international service limited,"suite 204 , pearl plaza km 23 lekki epe expressway lekki , Lagos","Sep 06, 2017"
Juniville Realty Limited ,,"Aug 16, 2021"
CertifiedRealtors,,"Aug 10, 2020"
God's Gift Properties And Investment (A subsidiary of Douglas Ifada & Associates) ,"16 Thomas Salako Street, 2nd Floor, Ogba, Lagos","Oct 06, 2015"
Exxotrone Homes,,"Jul 09, 2020"
Paradise Homes,"11, Jimoh Aliu, behind sweet sensation Isheri., Lagos","Sep 12, 2018"
BLESSING SOLOMON,Lagos,"Apr 09, 2018"
Worldmarks Properties Limited,"[email protected], Lagos","Sep 23, 2017"
Affable Global Realty,"38, Adeniran Ogunsanya Street, Surulere Lagos., Lagos","May 02, 2017"
PARACLETE GLOBAL INVESTMENT LTD,,"Jan 27, 2020"
temini ola,Lagos,"Dec 12, 2019"
Smartlink properties,"Abraham adesanya , ajah Lagos , Lagos","Jan 31, 2018"
property Marketers,"Allen Avenue, Lagos","Mar 11, 2018"
K2comluxury Limited,"7a, Acme Road, Ogba, Lagos","Sep 19, 2016"
Sammi Odukoya,Lagos,"Jan 19, 2018"
Victor Chukuigwe and Co ,"Kayode Oni street , Lagos","Feb 09, 2017"
PLANET HOMES,"Isheri Road, Ojodu Berger, Lagos","Dec 17, 2016"
Unique property consultants,"Shop B3 Ibeju Market Ibeju Lekki Expressway, Lagos","Nov 13, 2013"
Victoria onyeleri,,"Aug 08, 2021"
TEESAM HOMES NIG LTD,,"Jan 21, 2022"
FLEMZO NATIONS LTD,,"Mar 13, 2019"
Adekam global services Ltd,,"Sep 10, 2018"
Clayboard Nig. Ltd,"14 baale str off alpha beach road Lekki , Lagos","Oct 06, 2017"
ITJ REALTOR ,,"Jan 18, 2020"
Tee-Kay real estate company,"No 1 Oremeta estate, Ologuneru , Lagos","Oct 18, 2018"
ZUBEES REALTY LIMITED,"23 AGODOGBA AVENUE, PARKVIEW ESTATE, Lagos","May 08, 2017"
Oputa-Jay Apartments ,,"Mar 31, 2019"
Breathing Space.,"Lekki county road, Lagos","Sep 18, 2017"
KOLSON PROPERTIES,"23, ayodele ipaye close , Lagos","Nov 12, 2018"
West-Coast Property Group,"No 19, Olaniyi street Fagba Lagos, Lagos","Mar 17, 2017"
CW REAL ESTATE,"1 towry close off idejo street victoria island, Lagos","Apr 11, 2017"
APRO GLOBAL ESTATES LTD,"1119 Ahmadu Bello Way, Lagos","Nov 21, 2017"
Dafem Nig Ltd,"8,Adetayo osho street Akoka , Lagos","Jan 20, 2017"
Affordable Properties And Co,"1, Olowologbon street off shobo bus stop, Akowonjo, Lagos","May 07, 2014"
Macroda Nig Ltd,"15 Shobowale Street, Off Akilo Road, Ogba, Lagos","Aug 11, 2017"
D.Plus Real Estate And Property Management,"Plot 12 Ayoola Bus Stop Abesan Estate Gate Ipaja Lagos, Lagos","Aug 17, 2017"
HORLAN HOMES,,"Jan 20, 2019"
King palace consulting ,"Osapa London , Lagos","Mar 13, 2018"
Benamis Properties,"12A Sybil Iroche Street Lekki Phase 1, Lagos, Lagos","Jun 17, 2017"
nuville realties,"road 57 , house 52 VGC , Lekki Lagos, Lagos","Aug 08, 2016"
Adson Properties Solution,Lagos,"Oct 13, 2016"
Ifesco Properties,"Ikeja, Lagos","Jun 25, 2013"
DeGeniux Property World,"18, adeyemi street, ikotun, Lagos","Sep 08, 2017"
mausi realty,"89, Lagos","May 07, 2013"
Samuel Gbenga property,,"Mar 27, 2019"
De Home Vessel ,,"Dec 18, 2020"
Edmak Properties ,,"Jul 09, 2019"
Young Brain Ventures,,"Feb 03, 2020"
Kanile-Lori Realtors Ltd,,"Mar 26, 2020"
ADRON HOMES PROPERTIES LTD,,"Mar 21, 2019"
Olawale Jordan Company,,"Mar 14, 2023"
UBOSI ELEH,,"Feb 26, 2018"
Grade A Real Estate Agency Ltd,"DFIC Plaza Opposite Gold Crown Hotel, Port Harcourt Rd, Imo","Jun 14, 2020"
LITBOHG NIGERIA LIMITED,,"Feb 09, 2021"
Adebole Timilehin Olusola ,,"Mar 04, 2022"
