name,located,registered_on
Elmorya Onwukeme,,"Registered on Aug 23, 2019agent"
Alvina Homes,"suite j53,Road 5, Ikota shopping complex, Lagos","Registered on Jul 26, 2017agent"
Highspeed properties Ltd ,,"Registered on Aug 26, 2019agent"
360 Degrees,"160, Awolowo Road, Lagos","Registered on Jul 19, 2016agent"
CHI Realtor,,"Registered on Feb 08, 2019agent"
Jilkson investments Nig Ltd,,"Registered on Jan 28, 2019agent"
Ricosino property investment limited ,"ajesa street, wuse2, Abuja","Registered on Dec 12, 2016agent"
Edmak Properties ,,"Registered on Jul 09, 2019agent"
Standout consult,,"Registered on Jan 24, 2018agent"
Mike Jideonwor,Lagos,"Registered on Sep 19, 2016agent"
Kwaba Rental Finance Conpany,,"Registered on Aug 30, 2018agent"
Osilama & Co,"2nd Floor, 7 Brook Street, Lagos Island, Lagos, Lagos","Registered on May 17, 2017agent"
Odinga J Properties,"woji, Rivers","Registered on Nov 27, 2017agent"
Ayodele Ojo,"Lateef Salami, Ajao estate, Lagos","Registered on Aug 21, 2013agent"
FAVORITE PROPERTY ,,"Registered on Dec 05, 2019agent"
Nellyani properties and Investment Nig Limited,Abuja,"Registered on Nov 01, 2016agent"
Perfect Wings global ltd,"6,ayinke street akoka yaba Lagos , Lagos","Registered on Jun 02, 2017agent"
Ekundayo ikunika,,"Registered on Feb 22, 2018agent"
Sodadex property,"Gbagada, Lagos","Registered on Sep 26, 2016agent"
Sammi Odukoya,Lagos,"Registered on Jan 19, 2018agent"
Abimbola,,"Registered on Apr 29, 2018agent"
Ambi,,"Registered on Feb 02, 2018agent"
Toa okiki nig ent ,"81 itire rd off ogunlana drive Surulere , Lagos","Registered on May 22, 2013agent"
 REALVEST AND HOMES ,"Suit 211 ,Arcade Plaza, Oke bola,Ibadan, Oyo","Registered on Mar 01, 2018agent"
Cresco Homes and Properties,"13 Akpomudje Street, Ago Palace Way, Okota, Lagos","Registered on Apr 06, 2017agent"
Openkeys business venture ,,"Registered on Feb 18, 2019agent"
Pat- Arizona Properties,Lagos,"Registered on Aug 16, 2016agent"
Loyalty homes limited ,,"Registered on Oct 01, 2018agent"
Nobility Estates,,"Registered on Dec 10, 2018agent"
GUDNESS REALITY VENTURES,"IKOTA VILLA ESTATE, ROAD 1, HOUSE 1, Lagos","Registered on Jul 30, 2018agent"
Lighthouse property managers,,"Registered on Aug 19, 2019agent"
Emmglo properties and roofing,,"Registered on Jan 08, 2020agent"
Golan height property consult.,,"Registered on Jun 28, 2018agent"
Prince uche,,"Registered on Apr 15, 2018agent"
Christian,,"Registered on Oct 26, 2018agent"
PROPERTY CREW LIMITED,"No. 4 Babatope Bejide Street, Lekki 1, Lagos","Registered on Mar 16, 2018agent"
Lekki Metro Homes,"Esther Adeleke street, Lekki phase One, Lagos state, Lagos","Registered on Apr 02, 2018agent"
Charlow properties,,"Registered on Feb 20, 2020agent"
Oj Properties,"No 9 Adebare road, Ogudu, Ojota Lagos , Lagos","Registered on Mar 17, 2016agent"
BLESSING SOLOMON,Lagos,"Registered on Apr 09, 2018agent"
Mart Property,,"Registered on Mar 20, 2020agent"
GoshenSquare Estates,,"Registered on Jan 27, 2019agent"
charphics realtors(Subsidiary of Charphics investment Nig Ltd),"Agric, Lagos","Registered on Dec 18, 2014agent"
Dotun Owolabi and Co ,,"Registered on Dec 03, 2019agent"
Pacelink properties,"86 New Ipaja Road Alagun bus stop Iyana Ipaja Lagos, Lagos","Registered on Jun 19, 2015agent"
MEXOB REALTY LTD,,"Registered on Dec 04, 2017agent"
Peter & Welfare Enterprise ,Abuja,"Registered on Mar 05, 2018agent"
Prince Akinkunmi,Oyo,"Registered on Jul 08, 2019agent"
Samuel Gbenga property,,"Registered on Mar 27, 2019agent"
AkinFemi Properties ,,"Registered on Mar 29, 2020agent"
Chima ottah chima Associates,"No 1 Tijani Olushi street road 3 estate ogunfayo Eputu ibeju lekki Lagos Nigeria , Lagos","Registered on Jul 30, 2019agent"
BLUEHEDGE REALTORS,"Suite 230, Block C, Road 2, Ikota Shopping Complex, VGC, Lekki, Lagos, Lagos","Registered on Sep 01, 2016agent"
David Daniel & co,,"Registered on Mar 03, 2020agent"
Folake Ashiru,,"Registered on Jul 29, 2017agent"
MIRA PROPERTIES ,,"Registered on Jul 04, 2019agent"
Sabrina Properties Ltd,"Lekki phase 1, Lagos","Registered on Jul 13, 2017agent"
TOSS REALITY INVESTMENT LIMITED,Lagos,"Registered on Sep 22, 2016agent"
Wren Regent Properties Limited ,"18 Hakeem Dickson Drive, Of T. F Kuboye Street, Oniru. Lagos, Lagos","Registered on Jun 06, 2018agent"
Fast and Affordable Properties ,,"Registered on Mar 02, 2020agent"
Starcityproperties ,,"Registered on Jun 20, 2019agent"
Joe-Chuks Consulting Limited,,"Registered on Mar 21, 2018agent"
Daniel Alabi,,"Registered on Dec 22, 2021agent"
Expert consultant services ,,"Registered on Jul 05, 2019agent"
StandardBrass Properties & Investment,Lagos,"Registered on Aug 18, 2016agent"
Tokeate Properties,,"Registered on May 13, 2019agent"
Getiteasyproperties,"Oweh fadeyi, Lagos","Registered on May 31, 2018agent"
CHAMAN PROPERTIES,"Ojodu Berger, Lagos","Registered on May 17, 2015agent"
Jaiden & Glory Global Services,"Chief Oscar Amadi Close,Road 4,Suite 3, Atali Farm Estate, Atali , Rivers","Registered on Apr 03, 2017agent"
Yewande Akinyemi,,"Registered on Oct 04, 2017agent"
AS Abiodun and Partners,,"Registered on Jan 25, 2018agent"
Spartan Planet,"1 Bale Street, Igboefon Bustop, Lekki, Lagos, Lagos","Registered on Jun 21, 2018agent"
Firmwealth Realtors,"Sangotedo, Lagos","Registered on Apr 15, 2020agent"
Godwin Abraham ,,"Registered on Sep 03, 2018agent"
ibrahim Arinola. A,,"Registered on Sep 26, 2019agent"
MA'BULWARK REAL ESTATE AND PROPERTY MANAGEMENT,,"Registered on Jun 19, 2015agent"
Segun Oyebode,Lagos,"Registered on May 12, 2019agent"
DE-BASH PROPERTY VENTURE,,"Registered on Aug 20, 2017agent"
flocisco properties,"5 meji ogbe street, Lagos","Registered on Jul 22, 2017agent"
Axis & Fortress Limited,"Km 14 lekki Epe expressway, after the 2 ND toll gate , Lagos","Registered on Sep 26, 2022agent"
David Peace ,,"Registered on Mar 16, 2015agent"
TheAnswers Concept Ltd,"Okota road , Lagos","Registered on Sep 20, 2018agent"
STRONG TOWER PROPERTIES VENTURES,Lagos,"Registered on Oct 19, 2016agent"
Olanrewaju Otubambo,Lagos,"Registered on Nov 21, 2019agent"
Blake-Tridel investment l.t.d,,"Registered on Apr 25, 2019agent"
Property Hub Naija,,"Registered on May 17, 2019agent"
gbenga samuel,,"Registered on Jan 16, 2017agent"
BOUNDLESS REAL ESTATE ,,"Registered on May 29, 2019agent"
ODINGA E PROPERTY LTD,"Sasun round about , Rivers","Registered on Feb 01, 2018agent"
Balogun John seyi,,"Registered on May 20, 2019agent"
Condominiums Realty Ng,Abuja,"Registered on Mar 08, 2020agent"
IMC HOMES,,"Registered on Oct 20, 2015agent"
.,,"Registered on Jul 27, 2018agent"
Joe Etoniru & Associates,"Plot 9, Olawale Onitiri Cole street,lekki phase 1, Lagos","Registered on Dec 13, 2019agent"
Bunmi Awoyemi,,"Registered on May 25, 2019agent"
FRANK’s Villa Apartment's,,"Registered on Oct 17, 2017agent"
Shedrack Luka property,,"Registered on Nov 27, 2017agent"
Taiwo Salam & Co. Properties Limited,"U7 Joke Plaza Bodija Ibadan, Oyo","Registered on Apr 17, 2018agent"
Dcirealtor ltd,"OSAPA LONDON, Lagos","Registered on Sep 23, 2017agent"
FUTURE LANDLORDS REALTORS AND CONSTRUCTION LIMITED,"[email protected], Lagos","Registered on May 15, 2015agent"
Worldmarks Properties Limited,"13 Adeniji street,Surulere lagos, Lagos","Registered on Oct 03, 2019agent"
Homesearch and Properties ,,"Registered on May 03, 2019agent"
Cruzi Global Resort Ltd ,,"Registered on Jul 19, 2017agent"
DEW PROPERTIES ,,"Registered on Nov 13, 2019agent"
OMIN ELIEZER ETA,,"Registered on Nov 23, 2017agent"
IB Properties Investment Limited,"4 Ilorin Street Area 8, Abuja","Registered on Jan 17, 2020agent"
5143 Atlan World Ltd,,"Registered on Jan 20, 2019agent"
Royal Realtors estate services,,"Registered on Apr 16, 2019agent"
HORLAN HOMES,,"Registered on Aug 23, 2018agent"
Mafik75 HOMES LTD.,,"Registered on Jun 17, 2017agent"
Ile-Eru Bestway Properties Global Consultants,"12A Sybil Iroche Street Lekki Phase 1, Lagos, Lagos","Registered on Feb 13, 2020agent"
Benamis Properties,,"Registered on Feb 04, 2020agent"
Real Property Consult ,,"Registered on Mar 30, 2019agent"
Affordable Properties And Co,,"Registered on Jun 16, 2019agent"
Grandporch Homes & Assets Co.,,"Registered on Apr 15, 2021agent"
Property Links NG ,,"Registered on Mar 13, 2019agent"
Abella5.5 Realty,,"Registered on May 09, 2019agent"
Projects and services,,"Registered on Feb 09, 2017agent"
 Zillenium Limited (ENIKPLUS PROPERTIES),"ketu, Lagos","Registered on Sep 14, 2016agent"
Adson Properties solution ,"ikota villa,lekki, Lagos","Registered on Aug 17, 2018agent"
Hodisol Limited ,,"Registered on Feb 17, 2020agent"
Vic tobore properties,,"Registered on Jan 03, 2017agent"
