title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
A Luxuriously Built 2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,Ilasan Elegushi Lekki Ilasan Lekki Lagos,chukwuemeka-felix, 6JXDL,True,True,False,2,2,3,3200000,2023-08-02,not updated,Lagos
Newly Built Mini Flat In A Serene Environment,1 BEDROOM FLAT / APARTMENT FOR RENT,Ifako Ogba Ogba Lagos,city-garden-real-estate-ltd, 5JXDL,False,False,False,1,0,0,500000,2023-08-02,not updated,Lagos
Sharp Two Bedroom Apartment In An Estate,2 BEDROOM FLAT / APARTMENT FOR RENT,Peacevile Estate Badore Badore Ajah Lagos,156, 4JXDL,False,False,False,2,0,0,1500000,2023-08-02,not updated,Lagos
Newly Built 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Ifako Ogba Ogba Lagos,city-garden-real-estate-ltd, 3JXDL,True,False,False,2,0,0,1000000,2023-08-02,not updated,Lagos
Beautiful Luxury Serviced 1 Bedroom Apartment,1 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,sanrealtor, 2JXDL,True,True,False,1,1,2,4000000,2023-08-02,not updated,Lagos
New 2 Bedroom Flat In A Good Location,2 BEDROOM FLAT / APARTMENT FOR RENT,Remlek Estate Badore Ajah Lagos,rofama-homes-properties, 1JXDL,True,False,False,2,2,3,1400000,2023-08-02,not updated,Lagos
3 Bedroom Apartment With Pool,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,rentalhub_island, 0JXDL,False,False,False,3,0,0,7000000,2023-08-02,not updated,Lagos
Beautiful Luxury Serviced 4 Bedroom Maisonette With Bq,4 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,sanrealtor, 9JXDK,True,True,False,4,4,5,10000000,2023-08-02,not updated,Lagos
2 Bedroom For Rent In A Serene And Calm Environment,2 BEDROOM HOUSE FOR RENT,Agungi Lekki Agungi Lekki Lagos,chukwuemeka-felix, 8JXDK,True,False,False,2,2,3,3000000,2023-08-02,not updated,Lagos
Beautiful Furnished 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Banana Island Road Ikoyi Lagos,sanrealtor, 7JXDK,True,True,False,4,4,5,20000000,2023-08-02,not updated,Lagos
