title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
Shared Apartment For Rent At Abraham Adesanya Ajah,1 BEDROOM FLAT / APARTMENT FOR RENT,Shared Apartment For Rent At Abraham Adesanya Ajah Lagos Abraham Adesanya Estate Ajah Lagos,edoks-property-ltd1, 6JYRR,False,False,False,1,1,1,650000,2023-08-13,not updated,Lagos
A Nice Mini Flat At Fadeyi,1 BEDROOM FLAT / APARTMENT FOR RENT,Onipanu Ikorodu Road(ilupeju) Ilupeju Lagos,best-choice-estate-agent, 2JYRR,False,False,False,1,0,0,650000,2023-08-13,not updated,Lagos
3 Bedrooms Bungalow For Rent At Abraham Adesanya Ajah,3 BEDROOM HOUSE FOR RENT,Bungalow For Rent At Abraham Adesanya Ajah Lagos Abraham Adesanya Estate Ajah Lagos,edoks-property-ltd1, 1JYRR,False,False,False,3,4,4,1700000,2023-08-13,not updated,Lagos
A Service Studio Apartments At Yaba,FLAT / APARTMENT FOR RENT,Akoka Akoka Yaba Lagos,best-choice-estate-agent, 6JYRQ,False,False,False,0,0,0,650000,2023-08-13,not updated,Lagos
2bed Terrace Duplex At Omole Phase 2 Extension,2 BEDROOM HOUSE FOR RENT,Olowora Ojodu Lagos,fesgomar-integrated-services, 2JYRQ,False,False,False,2,2,3,2000000,2023-08-13,2023-08-13 00:00:00,Lagos
Miniflat Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Jibowu Yaba Lagos,christyworldcom-ltd-rc7018645, 8JYRP,False,False,True,1,1,2,1200000,2023-08-13,not updated,Lagos
A Modern Room Self Contanied Upstairs,FLAT / APARTMENT FOR RENT,"In A Gated Close Off College Rd Ogba Ikeja, Lagos Ifako Ogba Ogba Lagos",first-homes1, 7JYRP,False,False,False,0,0,0,450000,2023-08-13,2023-08-13 00:00:00,Lagos
Miniflat Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,A Street In Gbagada Gbagada Lagos,christyworldcom-ltd-rc7018645, 4JYRP,False,False,True,1,1,1,1000000,2023-08-13,not updated,Lagos
A Modern Room Self Contained Upstairs,FLAT / APARTMENT FOR RENT,"In A Gated Close, Off College Rd Ogba, Ikeja Lagos Ifako Ogba Ogba Lagos",first-homes1, 1JYRP,False,False,False,0,0,0,450000,2023-08-13,not updated,Lagos
Miniflat Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Pedro Side Onike Yaba Lagos,christyworldcom-ltd-rc7018645, 0JYRP,False,False,True,1,1,1,1200000,2023-08-13,not updated,Lagos
Miniflat Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Off Commercial Avenue Sabo Yaba Lagos,christyworldcom-ltd-rc7018645, 9JYRN,False,False,True,1,1,1,1200000,2023-08-13,not updated,Lagos
Decent Mini Flat At Puposhola Street,1 BEDROOM FLAT / APARTMENT FOR RENT,Oko Oba Agege Lagos,fesgomar-integrated-services, 2JYRN,False,False,False,1,1,1,700000,2023-08-13,2023-08-13 00:00:00,Lagos
Standard Miniflat + Balcony ( Upstairs),FLAT / APARTMENT FOR RENT,"Adekunle, Yaba, Lagos Adekunle Yaba Lagos",tos-property-services, 8JYRM,False,False,False,0,0,0,850000,2023-08-13,not updated,Lagos
