title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state
4bedroom Detached Duplex With 2nos 2bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SALE,"Ajao Estate, Anthony Village Anthony Village Maryland Lagos",provident-homes-realtor, 9JYQJ,False,False,False,4,4,4,180000000,2023-08-12,,Lagos
Brand New 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Conservation Chevron Lekki Lagos,vic-tobore-properties, 0JYQJ,True,False,False,4,5,5,75000000,2023-08-12,2023-08-12,Lagos
5bedroom Duplex & 2bedrm Bq On 300sqm@ Ogudu. 90m,5 BEDROOM HOUSE FOR SALE,Ogudu Ori Oke Ogudu Ogudu Lagos,pdan-property-lagos, 9JYQH,False,False,False,5,6,6,90000000,2023-08-12,2023-08-13,Lagos
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Monastery Road Sangotedo Lagos,chrystal-abodes1, 7JYQH,True,False,False,4,4,5,400000000,2023-08-12,,Lagos
Tastefully Finished 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Along Airport Road, Lugbe Abuja",the-kings-real-estate-consultancy, 1JYQH,True,False,True,5,5,6,305000000,2023-08-12,,Abuja
Prime Warehouse For Sale,COMMERCIAL PROPERTY FOR SALE,"Agege Motor Road, By Mushin/ilupeju Abule Egba Lagos",the-kings-real-estate-consultancy, 0JYQH,False,False,False,0,0,0,3900000000,2023-08-12,,Lagos
Serviced Custom 4 Bed Detached Villa + Pool,4 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,cwre-ltd, 6JYQG,False,True,False,4,4,5,280000000,2023-08-12,,Lagos
Relatively New 3 Bedroom For Sale,3 BEDROOM HOUSE FOR SALE,Issac John Jibowu Yaba Lagos,jaydee-properties, 4JYQG,False,False,False,3,3,4,40000000,2023-08-12,2023-08-13,Lagos
Newly Built 4 Bedroom Duplex With Bq In Ogba Ikeja,4 BEDROOM HOUSE FOR SALE,"Adekoya Estate Ogba. Opposite Zenith Bank, College Road Via Excellent Hotel Ifako Ogba Ogba Lagos",properties-station-limited, 3JYQG,True,True,False,4,4,5,137000000,2023-08-12,2023-08-12,Lagos
Furnished 5 Bedroom Detached House With 2 Bqs,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,cwre-ltd, 0JYQG,False,False,True,5,5,6,480000000,2023-08-12,,Lagos
All Rooms Ensuite 4 Bed Semi Detached Duplex+bq,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,itj-realtor, 8JYQF,True,False,True,4,5,5,130000000,2023-08-12,,Lagos
Exquisite 5bed Detached Edifice+ Bq & Pool,5 BEDROOM HOUSE FOR SALE,Igbo Efon Lekki Lagos,itj-realtor, 5JYQF,True,False,True,5,6,6,250000000,2023-08-12,,Lagos
Exotic 6 Bed Fully Detached Duplex+open Roofterrace,6 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,itj-realtor, 3JYQF,True,True,True,6,7,7,270000000,2023-08-12,,Lagos
