title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state,type
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,ayo-kay, 4JARA,False,False,False,4,5,0,175000,2023-02-17,2023-08-13,Abuja,short let
Tastefully Furnished 4bedrooms Paragon,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Ikate Lekki Lagos,higherground-realty, 9FGPK,False,True,True,4,4,4,31025000,2021-09-01,2023-08-13,Lagos,short let
Lovely 4 Bedroom Semi Detached Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Apo Village, Apo Abuja",persisgrace-nigeria-limited, 2JWRJ,False,False,True,4,4,4,62780000,2023-07-30,2023-08-13,Abuja,short let
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,persisgrace-nigeria-limited, 2JXGS,False,False,True,4,4,4,78475000,2023-08-03,2023-08-13,Lagos,short let
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Mowe Obafemi Owode Ogun,ifeoluwa-abraham, 8JWXG,False,True,True,4,4,5,54750000,2023-08-01,2023-08-13,Ogun,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Amuwo Odofin Lagos,nicholas-nwaikwu, 7JWLR,False,False,False,4,0,0,170000,2023-07-28,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,higherground-realty, 0GRFM,False,False,True,4,4,4,47450000,2022-05-26,2023-08-13,Lagos,short let
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Atlantis Estate Ologolo Lekki Lagos,higherground-realty, 3JBKJ,False,True,True,4,4,4,47450000,2023-02-25,2023-08-13,Lagos,short let
Furnished 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,higherground-realty, 7HBVD,False,True,True,4,4,4,31025000,2022-08-12,2023-08-13,Lagos,short let
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,higherground-realty, 6HDTA,False,True,True,4,4,4,51100000,2022-08-26,2023-08-13,Lagos,short let
Luxurious 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,tira-crest-properties, 4JWXY,False,True,True,4,0,0,51100000,2023-08-01,2023-08-13,Lagos,short let
