title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,type,state
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"Olukolu Street, Igbo Efon Lekki Lagos",spartan-planet, 1KCGX,False,False,False,2,2,2,2200000,2023-09-07,2023-09-08,rent,Lagos
Newly Built 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"Lekki, Admiralty Lekki Phase 1 Lekki Lagos",478, 8KCKW,False,True,False,0,0,0,3045000,2023-09-08,,rent,Lagos
29sqm Shop Space In A Busy Environment,COMMERCIAL PROPERTY FOR RENT,Ikate Lekki Lagos,benjamin-glory, 6KCKW,False,False,False,4,4,5,5000000,2023-09-08,,rent,Lagos
4 Bedroom Terrace Duplex At Ikate For 4m.,4 BEDROOM HOUSE FOR RENT,Chevron Lekki Lagos,daniel-uche-properties, 5KCKW,True,True,False,1,1,1,1500000,2023-09-08,,rent,Lagos
Brand New Studio Apartment With 24hrs Light,1 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,alluxuryhomesproperties-al, 3KCKW,False,False,True,0,0,0,2500000,2023-09-08,,rent,Lagos
1bedroomflat,FLAT / APARTMENT FOR RENT,Irone Avenue Aguda Aguda Surulere Lagos,degeniusxpropertyworld, 0KCKW,True,False,False,2,2,3,2000000,2023-09-08,,rent,Lagos
Spacious 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"Phase 1, Lekki Lagos",daniel-uche-properties, 0KCGL,True,True,False,2,2,3,7000000,2023-09-07,2023-09-08,rent,Lagos
Fully Furnished 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR RENT,Osborne Foreshore Estate Ikoyi Lagos,el-loeva-nig-ltd, 9KCGK,False,True,True,4,4,4,10000000,2023-09-07,2023-09-08,rent,Lagos
Relatively New 3 Bedroom In Millennium Estate,3 BEDROOM HOUSE FOR RENT,Millenuim Ups Gbagada Lagos,benjamin-glory, 8KCKV,False,False,False,3,3,4,2500000,2023-09-08,,rent,Lagos
2 Bedroom Flat For Rent In Vi At 4m.,2 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,future-pride-homes-and-properties-ltd, 6KCKV,False,False,False,2,2,3,4000000,2023-09-08,,rent,Lagos
