title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
5 Bedroom Detached Duplex,10 BEDROOM HOUSE FOR SHORTLET,"Off Ikeja Medical Center, Allen Avenue Ikeja Lagos",shelters-apartment,"  100,000/day ", 3JUYT,True,True,True,10,10,0,100000,3000000,36500000,2023-07-18,2023-07-31,Lagos
4 Bedroom Duplex,9 BEDROOM HOUSE FOR SHORTLET,"Off Ikeja Medical Center, Allen Avenue Ikeja Lagos",shelters-apartment,"  80,000/day ", 8JUYT,False,False,False,9,9,0,80000,2400000,29200000,2023-07-18,2023-07-31,Lagos
5 Bedroom Detached Duplex For Sale,9 BEDROOM OPEN SPACE FOR SHORTLET," victory Park Estate, Osapa, Lekki, Lagos Tureta Sokoto",No agent,"  123,456 ", 4BZWS,False,False,False,9,2,9,123456,1481472,45061440,2019-02-04,,Sokoto
Luxurious Nine (9)bedroom Guest House,9 BEDROOM DETACHED HOUSE FOR SHORTLET,Off Awolowo Road Ikoyi S.w Ikoyi Lagos,king-palace-consulting,"  12,000 ", 4BZXW,False,False,False,9,10,10,12000,144000,4380000,2019-02-05,2023-07-27,Lagos
Luxury & Royal 7 Bedroom Serviced Duplex,7 BEDROOM FLAT / APARTMENT FOR SHORTLET,Alalubosa Gra Alalubosa Ibadan Oyo,pecons-realtors,"  300,000/day ", 2ETEZ,False,True,False,7,7,7,300000,9000000,109500000,2021-05-27,2023-07-28,Oyo
6 Bedroom Duplex,6 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,kennedy-otunku,"  350,000/day ", 3HLTJ,True,True,True,6,6,7,350000,10500000,127750000,2022-10-21,2023-07-31,Lagos
Luxurious 6 Bedroom Duplex Party House,6 BEDROOM HOUSE FOR SHORTLET,Ogudu Ogudu Lagos,property-magnate,"  150,000/day ", 8GLFS,True,True,True,6,7,7,150000,4500000,54750000,2022-04-21,2023-07-27,Lagos
6 Bedroom Duplex,6 BEDROOM HOUSE FOR SHORTLET,Guzape Abuja,bright-innocent1,"  400,000/day ", 8JLWY,False,True,True,6,6,7,400000,12000000,146000000,2023-05-16,2023-08-02,Abuja
Newly Built 6 Bedroom Duplex,6 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,kennedy-otunku,"  300,000/day ", 5GFQV,True,True,True,6,6,6,300000,9000000,109500000,2022-03-17,2023-07-31,Lagos
Tastefully Furnished 6 Bedrooms Serviced Apartment,6 BEDROOM HOUSE FOR SHORTLET,Vgc Vgc Lekki Lagos,higherground-realty,"  150,000/day ", 4FWPK,False,True,True,6,6,6,150000,4500000,54750000,2022-01-08,2023-07-28,Lagos
Work Station Office Cubicles Space At Lekki,6 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,dozek-co-pr5eO,"  47,000/month ", 9EGGP,False,True,True,6,6,7,1566.6666666666667,47000,564000,2021-02-04,2023-07-29,Lagos
